Ensemble,Weighting,Type,Accuracy,F1 Score,Precision,Recall
B+D,Performance (Train Precision),RC,0.86336,0.86336,0.86336,0.86336
B+D,Performance (Train Recall),RC,0.86336,0.86336,0.86336,0.86336
B+D,Average,RC,0.86328,0.86328,0.86328,0.86328
B+D,Diversity (Training),RC,0.86288,0.86288,0.86288,0.86288
B,Performance (Train Recall),RC,0.86264,0.86264,0.86264,0.86264
B,Performance (Train Precision),RC,0.86264,0.86264,0.86264,0.86264
B,Performance (Train F1),RC,0.86264,0.86264,0.86264,0.86264
B,Performance (Train Accuracy),RC,0.86264,0.86264,0.86264,0.86264
B,Diversity (Training),RC,0.86264,0.86264,0.86264,0.86264
B,Average,RC,0.86264,0.86264,0.86264,0.86264
B+D,Performance (Train Precision),SC,0.86164,0.863867133692786,0.8501820435355179,0.878
B+D,Performance (Train Accuracy),SC,0.86156,0.8637776990593143,0.8501588285426512,0.87784
B+D,Performance (Train F1),SC,0.86156,0.8637776990593143,0.8501588285426512,0.87784
B+D,Performance (Train Recall),SC,0.86152,0.8637437027707808,0.850092965602727,0.87784
B,Average,SC,0.86148,0.8628243216478511,0.8545311887014515,0.87128
B,Diversity (Training),SC,0.86148,0.8628243216478511,0.8545311887014515,0.87128
B,Performance (Train Precision),SC,0.86148,0.8628243216478511,0.8545311887014515,0.87128
B,Performance (Train F1),SC,0.86148,0.8628243216478511,0.8545311887014515,0.87128
B,Performance (Train Recall),SC,0.86148,0.8628243216478511,0.8545311887014515,0.87128
B,Performance (Train Accuracy),SC,0.86148,0.8628243216478511,0.8545311887014515,0.87128
B+D,Average,SC,0.86116,0.8634056117429459,0.8496630779955077,0.8776
B+D,Diversity (Training),SC,0.85996,0.8622033297910024,0.8486092817850779,0.87624
B+C,Performance (Train Accuracy),SC,0.85764,0.8574289949124705,0.8587017572013159,0.85616
B+C,Performance (Train F1),SC,0.85764,0.8574289949124705,0.8587017572013159,0.85616
B+C,Performance (Train Precision),SC,0.85764,0.8574289949124705,0.8587017572013159,0.85616
B+C,Average,SC,0.85764,0.8574289949124705,0.8587017572013159,0.85616
B+C,Performance (Train Recall),SC,0.85764,0.8574289949124705,0.8587017572013159,0.85616
B+C,Diversity (Training),SC,0.8576,0.8573946482935427,0.858632862644416,0.85616
D,Average,RC,0.8556,0.8556,0.8556,0.8556
D,Diversity (Training),RC,0.8556,0.8556,0.8556,0.8556
D,Performance (Train Precision),RC,0.8556,0.8556,0.8556,0.8556
D,Performance (Train Recall),RC,0.8556,0.8556,0.8556,0.8556
D,Performance (Train Accuracy),RC,0.8556,0.8556,0.8556,0.8556
D,Performance (Train F1),RC,0.8556,0.8556,0.8556,0.8556
D,Performance (Train Precision),SC,0.8536,0.8559962228517469,0.8422112109012078,0.87024
D,Performance (Train Recall),SC,0.8536,0.8559962228517469,0.8422112109012078,0.87024
D,Performance (Train F1),SC,0.8536,0.8559962228517469,0.8422112109012078,0.87024
D,Performance (Train Accuracy),SC,0.8536,0.8559962228517469,0.8422112109012078,0.87024
D,Average,SC,0.8536,0.8559962228517469,0.8422112109012078,0.87024
D,Diversity (Training),SC,0.8536,0.8559962228517469,0.8422112109012078,0.87024
C,Performance (Train Recall),RC,0.83616,0.83616,0.83616,0.83616
C,Performance (Train Precision),RC,0.83616,0.83616,0.83616,0.83616
C,Performance (Train F1),RC,0.83616,0.83616,0.83616,0.83616
C,Performance (Train Accuracy),RC,0.83616,0.83616,0.83616,0.83616
C,Diversity (Training),RC,0.83616,0.83616,0.83616,0.83616
C,Average,RC,0.83616,0.83616,0.83616,0.83616
C,Performance (Train Accuracy),SC,0.83464,0.8323736923201687,0.8439401414241079,0.82112
C,Performance (Train F1),SC,0.83464,0.8323736923201687,0.8439401414241079,0.82112
C,Performance (Train Recall),SC,0.83464,0.8323736923201687,0.8439401414241079,0.82112
C,Performance (Train Precision),SC,0.83464,0.8323736923201687,0.8439401414241079,0.82112
C,Diversity (Training),SC,0.83464,0.8323736923201687,0.8439401414241079,0.82112
C,Average,SC,0.83464,0.8323736923201687,0.8439401414241079,0.82112
